bottle,n,p,np,day,hrs,chla.init,chla,nh4.init,nh4,srp.init,srp
64,30,17,3.902387891,2,23.35,0.081666667,0.05,1.964077316,13.5519165,5.257665455,15.0771323
65,30,22,3.015481552,2,23.45,0.081666667,0.05,1.964077316,19.43481985,5.257665455,111.5163089
66,30,1,66.34059414,2,23.4,0.081666667,0.03,1.964077316,5.525569904,5.257665455,3.022235227
1,50,9,12.28529521,3,23.7,0.081666667,0.25,1.964077316,46.72713733,5.257665455,17.62001591
2,30,22,3.015481552,3,23.65,0.081666667,0.13,1.964077316,29.51853414,5.257665455,6.648403649
3,30,13,5.103122626,3,23.61666667,0.081666667,0.22,1.964077316,41.41132564,5.257665455,19.21010464
4,50,22,5.025802587,3,23.55,0.081666667,0.23,1.964077316,33.36875127,5.257665455,3.30921731
5,50,1,110.5676569,3,23.53333333,0.081666667,0.15,1.964077316,29.97756283,5.257665455,4.104261677
6,30,1,66.34059414,3,23.53333333,0.081666667,0.19,1.964077316,15.60007673,5.257665455,1.242101958
7,50,13,8.505204377,3,23.53333333,0.081666667,0.303333333,1.964077316,31.78656512,5.257665455,3.945252804
8,10,13,1.701040875,3,23.55,0.081666667,0.21,1.964077316,25.32257687,5.257665455,10.30560773
9,10,22,1.005160517,3,23.56666667,0.081666667,0.14,1.964077316,13.7594594,5.257665455,3.78624393
10,10,1,22.11353138,3,23.58333333,0.081666667,0.09,1.964077316,9.736383065,5.257665455,4.581288297
11,30,9,7.371177127,3,23.58333333,0.081666667,0.2,1.964077316,19.81225512,5.257665455,12.53173196
12,10,2,11.05676569,3,23.55,0.081666667,0.13,1.964077316,7.09599928,5.257665455,7.761465762
13,10,4,5.528382845,3,23.51666667,0.081666667,0.16,1.964077316,13.17389377,5.257665455,9.192545622
14,50,4,27.64191423,3,23.55,0.081666667,0.21,1.964077316,25.88991058,5.257665455,13.96281182
15,10,9,2.457059042,3,23.53333333,0.081666667,0.15,1.964077316,13.12544191,5.257665455,1.878137451
16,10,17,1.300795964,3,23.55,0.081666667,0.17,1.964077316,13.30204601,5.257665455,20.00514901
17,50,2,55.28382845,3,23.43333333,0.081666667,0.16,1.964077316,26.95407542,5.257665455,1.719128578
18,Control,Control,Control,3,23.33333333,0.081666667,0.07,1.964077316,5.717670224,5.257665455,0.765075338
19,30,4,16.58514854,3,23.36666667,0.081666667,0.14,1.964077316,15.76418142,5.257665455,6.17137703
20,30,17,3.902387891,3,23.35,0.081666667,0.206666667,1.964077316,28.00159756,5.257665455,8.079483509
21,50,17,6.503979818,3,23.21666667,0.081666667,0.21,1.964077316,31.02663364,5.257665455,10.30560773
22,30,2,33.17029707,3,23.2,0.081666667,0.17,1.964077316,17.14184987,5.257665455,22.70829985
23,10,1,22.11353138,3,23.15,0.081666667,0.1,1.964077316,6.932911575,5.257665455,1.401110831
24,10,22,1.005160517,3,23.1,0.081666667,0.15,1.964077316,16.25290851,5.257665455,4.899306043
25,Control,Control,Control,3,23.01666667,0.081666667,0.1,1.964077316,4.879520388,5.257665455,16.82497154
26,50,17,6.503979818,3,23,0.081666667,0.173333333,1.964077316,32.86530391,5.257665455,24.29838858
27,50,13,8.505204377,3,22.95,0.081666667,0.24,1.964077316,27.85982172,5.257665455,2.355164071
28,10,2,11.05676569,3,22.98333333,0.081666667,0.113333333,1.964077316,8.112532225,5.257665455,13.00875858
29,30,2,33.17029707,3,22.81666667,0.081666667,0.173333333,1.964077316,14.26902029,5.257665455,1.083093084
30,10,4,5.528382845,3,22.81666667,0.081666667,0.14,1.964077316,8.213083781,5.257665455,1.401110831
31,30,22,3.015481552,3,22.81666667,0.081666667,0.16,1.964077316,27.79567896,5.257665455,9.033536749
32,50,4,27.64191423,3,22.73333333,0.081666667,0.19,1.964077316,13.7594594,5.257665455,17.93803365
33,50,9,12.28529521,3,22.66666667,0.081666667,0.2,1.964077316,24.18232472,5.257665455,6.807412523
34,10,13,1.701040875,3,22.63333333,0.081666667,0.11,1.964077316,16.41662351,5.257665455,3.150208437
35,30,9,7.371177127,3,22.66666667,0.081666667,0.15,1.964077316,19.22211159,5.257665455,14.28082957
36,30,17,3.902387891,3,22.58333333,0.081666667,0.12,1.964077316,27.73025555,5.257665455,15.55290055
37,30,4,16.58514854,3,22.56666667,0.081666667,0.13,1.964077316,16.24989521,5.257665455,4.899306043
38,10,9,2.457059042,3,22.55,0.081666667,0.113333333,1.964077316,13.46690838,5.257665455,40.04026704
39,30,1,66.34059414,3,22.55,0.081666667,0.12,1.964077316,14.78278676,5.257665455,4.74029717
40,50,22,5.025802587,3,22.56666667,0.081666667,0.21,1.964077316,30.54340437,5.257665455,15.55290055
41,50,1,110.5676569,3,22.55,0.081666667,0.09,1.964077316,31.92365875,5.257665455,15.23488281
42,30,13,5.103122626,3,-1064608.967,0.081666667,,1.964077316,,5.257665455,
43,10,17,1.300795964,3,22.51666667,0.081666667,0.14,1.964077316,12.31024677,5.257665455,6.17137703
44,50,2,55.28382845,3,22.56666667,0.081666667,0.13,1.964077316,24.27084045,5.257665455,8.132486467
45,10,17,1.300795964,3,22.51666667,0.081666667,0.053333333,1.964077316,23.97501537,5.257665455,5.853359283
46,50,2,55.28382845,3,22.48333333,0.081666667,0.07,1.964077316,23.67293188,5.257665455,9.669572242
47,30,4,16.58514854,3,22.41666667,0.081666667,0.08,1.964077316,14.39743909,5.257665455,23.18532647
48,10,9,2.457059042,3,22.41666667,0.081666667,0.05,1.964077316,15.01638282,5.257665455,5.69435041
49,10,2,11.05676569,3,22.41666667,0.081666667,0.06,1.964077316,7.594852807,5.257665455,4.899306043
50,Control,Control,Control,3,22.4,0.081666667,0.04,1.964077316,3.19249452,5.257665455,2.355164071
51,50,9,12.28529521,3,22.41666667,0.081666667,0.09,1.964077316,20.66562792,5.257665455,2.673181817
52,50,1,110.5676569,3,22.4,0.081666667,0.04,1.964077316,26.4226565,5.257665455,12.21371421
53,10,13,1.701040875,3,22.43333333,0.081666667,0.063333333,1.964077316,21.54832247,5.257665455,3.468226184
54,30,2,33.17029707,3,22.43333333,0.081666667,0.06,1.964077316,15.46623398,5.257665455,7.443448016
55,10,22,1.005160517,3,22.45,0.081666667,0.05,1.964077316,12.53363238,5.257665455,1.719128578
56,30,9,7.371177127,3,22.43333333,0.081666667,0.06,1.964077316,19.24423618,5.257665455,23.34433534
57,30,13,5.103122626,3,22.35,0.081666667,0.05,1.964077316,28.31955882,5.257665455,1.560119704
58,50,17,6.503979818,3,22.36666667,0.081666667,0.09,1.964077316,30.50237711,5.257665455,2.832190691
59,50,13,8.505204377,3,22.4,0.081666667,0.1,1.964077316,27.52995212,5.257665455,12.05470534
60,10,1,22.11353138,3,22.36666667,0.081666667,0.04,1.964077316,6.15474962,5.257665455,2.037146324
61,10,4,5.528382845,3,22.33333333,0.081666667,0.06,1.964077316,9.67744984,5.257665455,1.401110831
62,50,4,27.64191423,3,22.35,0.081666667,0.08,1.964077316,22.22927068,5.257665455,177.7419513
63,50,22,5.025802587,3,22.36666667,0.081666667,0.06,1.964077316,32.87600403,5.257665455,3.627235057
64,30,17,3.902387891,3,22.35,0.081666667,0.08,1.964077316,25.52935166,5.257665455,1.560119704
65,30,22,3.015481552,3,22.26666667,0.081666667,0.06,1.964077316,27.82491378,5.257665455,3.468226184
66,30,1,66.34059414,3,22.28333333,0.081666667,0.05,1.964077316,15.03466545,5.257665455,6.012368156
